bit, RTT
0,0.852
1,30.352
0,4.811
1,33.517
0,5.993
1,12.829
0,4.081
1,23.652
0,4.533
1,24.667
0,4.676
1,16.493
0,4.447
1,15.705
0,4.671
1,11.229
0,5.906
1,12.834
0,4.700
1,13.958
0,3.960
1,10.601
0,4.243
1,9.204
0,4.180
1,9.767
0,3.898
1,10.934
0,4.450
1,9.235
0,4.859
1,14.512
0,4.367
1,9.806
0,4.210
1,9.584
0,0.751
1,10.627
0,4.396
1,14.667
0,4.975
1,13.056
0,4.559
1,9.799
0,4.938
1,13.354
0,4.734
1,13.001
0,4.097
1,13.846
0,4.640
1,9.867
0,4.448
1,12.494
0,0.622
1,11.195
0,5.273
1,14.320
0,4.332
1,6.693
0,0.518
1,12.713
0,4.343
1,13.272
0,4.910
1,10.553
0,5.033
1,13.073
0,4.499
1,14.351
0,5.151
1,8.336
0,4.643
1,13.816
0,4.525
1,14.488
0,4.546
1,13.777
0,4.723
1,9.988
0,4.774
1,8.037
0,1.487
1,13.704
0,4.446
1,14.346
0,8.800
1,11.645
0,4.144
1,9.672
0,4.444
1,12.162
0,4.744
1,10.525
0,6.475
1,13.853
0,5.191
1,11.945
0,4.893
1,11.031
0,4.226
1,15.980
0,4.898
1,14.097
0,4.482
1,14.527
0,4.980
1,14.605
0,5.530
1,12.271
0,4.429
1,13.484
0,4.198
1,13.407
0,0.624
1,12.602
0,5.098
1,13.743
0,5.326
1,14.104
0,4.367
1,14.883
0,4.396
1,10.740
0,4.040
1,18.326
the calculated threshold is: 7.1850000000000005
the expected error is: 0.03125
