bit, RTT
0,2.695
1,30.954
0,4.454
1,36.500
0,5.715
1,13.225
0,5.544
1,27.444
0,4.308
1,22.299
0,5.699
1,19.874
0,4.825
1,13.330
0,7.335
1,12.285
0,4.436
1,11.704
0,4.064
1,12.864
0,4.566
1,10.118
0,4.088
1,10.554
0,0.772
1,8.110
0,4.639
1,10.299
0,4.775
1,9.485
0,5.280
1,14.397
0,4.456
1,9.527
0,4.283
1,7.957
0,4.736
1,7.779
0,0.744
1,13.361
0,4.714
1,13.247
0,4.358
1,12.386
0,4.966
1,13.415
0,4.531
1,11.523
0,5.053
1,14.662
0,4.657
1,8.731
0,3.957
1,14.446
0,4.546
1,13.228
0,5.373
1,13.386
0,4.186
1,12.073
0,5.096
1,12.055
0,4.118
1,12.461
0,0.770
1,9.377
0,5.165
1,12.392
0,4.342
1,12.863
0,6.827
1,11.470
0,4.789
1,13.377
0,4.928
1,13.402
0,4.069
1,13.412
0,0.746
1,13.493
0,4.071
1,12.784
0,4.964
1,13.247
0,5.064
1,12.745
0,8.835
1,12.185
0,4.496
1,9.367
0,4.357
1,13.025
0,5.139
1,12.715
0,5.185
1,14.663
0,4.769
1,12.192
0,5.001
1,8.642
0,4.658
1,15.297
0,4.753
1,14.537
0,0.766
1,12.933
0,4.814
1,13.952
0,4.827
1,14.221
0,4.555
1,12.117
0,4.797
1,12.561
0,3.731
1,11.856
0,4.462
1,13.116
0,5.176
1,13.889
0,4.146
1,14.253
0,4.687
1,9.942
0,4.809
1,16.777
the calculated threshold is: 7.285
the expected error is: 0.03125
