bit, RTT
1,3.820
0,0.714
1,32.173
0,4.377
1,11.736
0,7.161
1,14.104
0,6.160
1,17.350
0,0.496
1,17.507
0,3.703
1,10.885
0,3.877
1,7.297
0,4.318
1,9.102
0,4.207
1,12.279
0,3.568
1,9.604
0,4.087
1,9.675
0,3.899
1,8.600
0,3.801
1,9.252
0,4.495
1,10.068
0,4.041
1,9.005
0,0.461
1,8.617
0,4.001
1,9.077
0,3.802
1,11.492
0,7.300
1,9.298
0,4.536
1,9.924
0,3.674
1,9.507
0,3.589
1,10.663
0,3.828
1,9.480
0,4.194
1,8.668
0,3.564
1,9.282
0,4.168
1,9.471
0,4.058
1,9.836
0,4.076
1,10.164
0,4.197
1,8.464
0,4.064
1,9.189
0,4.274
1,8.068
0,4.017
1,8.604
0,3.732
1,8.981
0,3.015
1,8.825
0,3.827
1,9.631
0,0.421
1,9.345
0,3.948
1,8.755
0,3.747
1,11.750
0,4.289
1,8.973
0,4.117
1,9.231
0,4.499
1,8.925
0,4.030
1,8.822
0,5.264
1,12.216
0,6.875
1,9.247
0,3.901
1,9.057
0,5.431
1,9.862
0,0.491
1,9.152
0,3.995
1,8.628
0,4.128
1,10.148
0,4.048
1,10.127
0,4.353
1,9.769
0,4.008
1,9.925
0,4.450
1,8.947
0,3.507
1,10.316
0,3.920
1,8.853
0,4.455
1,9.193
0,2.634
1,9.389
0,4.777
1,10.860
0,3.754
1,9.498
0,4.465
1,9.986
0,3.770
1,8.794
0,3.887
1,9.148
0,3.882
1,9.314
the calculated threshold is: 6.265000000000001
the expected error is: 0.0390625
