bit, RTT
1,3.684
0,0.769
1,30.978
0,4.493
1,30.742
0,6.603
1,13.806
0,6.124
1,16.754
0,1.005
1,8.526
0,3.956
1,15.176
0,4.093
1,8.730
0,3.999
1,12.747
0,4.492
1,11.970
0,4.292
1,9.149
0,5.357
1,9.831
0,4.852
1,9.243
0,4.884
1,11.069
0,4.665
1,9.982
0,4.838
1,13.160
0,4.328
1,9.046
0,4.977
1,9.699
0,5.007
1,14.928
0,7.864
1,9.659
0,4.869
1,8.959
0,5.178
1,15.173
0,4.382
1,10.552
0,4.654
1,9.041
0,4.853
1,9.855
0,4.669
1,9.545
0,5.164
1,9.752
0,4.711
1,10.151
0,4.207
1,10.254
0,5.110
1,9.130
0,0.986
1,9.798
0,5.028
1,9.500
0,4.818
1,8.875
0,0.627
1,10.044
0,11.243
1,9.164
0,5.482
1,6.118
0,0.713
1,8.916
0,5.501
1,10.599
0,5.406
1,10.369
0,4.414
1,9.360
0,5.114
1,9.547
0,4.715
1,3.811
0,4.600
1,9.326
0,4.650
1,11.698
0,7.643
1,10.266
0,4.744
1,10.840
0,5.062
1,15.229
0,4.480
1,9.214
0,4.501
1,10.055
0,4.659
1,9.666
0,5.015
1,10.367
0,5.132
1,11.112
0,4.258
1,10.037
0,4.357
1,8.899
0,5.705
1,9.539
0,4.916
1,10.255
0,4.552
1,9.582
0,4.769
1,10.433
0,4.403
1,12.887
0,0.751
1,7.653
0,1.081
1,9.864
0,4.362
1,9.612
0,4.688
1,11.183
0,4.818
1,9.673
the calculated threshold is: 7.26
the expected error is: 0.0546875
