bit, RTT
0,0.812
1,12.891
0,4.626
1,24.967
0,4.679
1,12.800
0,5.914
1,9.798
0,5.357
1,10.993
0,4.656
1,9.692
0,6.266
1,13.196
0,6.804
1,12.644
0,5.813
1,14.281
0,4.830
1,14.870
0,5.397
1,15.310
0,5.569
1,17.219
0,5.128
1,13.898
0,4.756
1,14.818
0,5.119
1,9.996
0,6.200
1,14.001
0,4.653
1,9.447
0,5.576
1,9.843
0,5.221
1,13.699
0,4.941
1,13.624
0,5.769
1,15.488
0,4.933
1,10.675
0,4.915
1,19.404
0,5.079
1,14.974
0,5.641
1,14.902
0,5.196
1,12.904
0,5.098
1,14.420
0,5.109
1,14.330
0,5.002
1,15.436
0,4.801
1,14.544
0,5.102
1,13.589
0,5.090
1,15.352
0,4.727
1,21.611
0,5.190
1,13.312
0,4.804
1,14.580
0,6.538
1,14.187
0,4.936
1,12.141
0,5.009
1,15.618
0,5.065
1,13.923
0,5.257
1,8.369
0,4.681
1,18.705
0,5.694
1,8.844
0,0.695
1,13.263
0,9.429
1,14.354
0,5.669
1,14.382
0,5.273
1,15.092
0,5.250
1,13.398
0,5.013
1,14.437
0,5.461
1,14.869
0,5.325
1,14.178
0,5.254
1,12.739
0,4.883
1,13.732
0,5.220
1,13.777
0,5.399
1,13.622
0,4.716
1,14.316
0,5.225
1,13.411
0,5.664
1,14.030
0,4.914
1,14.303
0,4.592
1,14.024
0,5.001
1,15.492
0,4.959
1,14.090
0,5.261
1,13.788
0,5.904
1,13.848
the calculated threshold is: 7.96
the expected error is: 0.0234375
