bit, RTT
0,0.748
1,32.775
0,5.925
1,28.060
0,5.236
1,14.318
0,4.390
1,23.091
0,4.758
1,23.400
0,5.443
1,17.553
0,3.991
1,14.447
0,5.586
1,12.941
0,5.214
1,18.071
0,4.915
1,8.544
0,4.695
1,15.286
0,4.011
1,10.841
0,4.444
1,8.869
0,5.064
1,15.214
0,5.109
1,11.877
0,5.107
1,9.203
0,4.723
1,7.999
0,1.100
1,12.937
0,4.695
1,12.177
0,4.891
1,11.067
0,4.563
1,10.078
0,4.253
1,8.117
0,4.092
1,9.990
0,4.417
1,8.458
0,3.782
1,22.619
0,4.477
1,7.797
0,4.940
1,8.055
0,4.239
1,8.287
0,5.161
1,8.430
0,4.966
1,10.322
0,4.518
1,9.179
0,4.261
1,8.521
0,5.084
1,11.485
0,4.429
1,8.787
0,4.688
1,9.973
0,4.329
1,8.757
0,5.131
1,8.238
0,4.784
1,9.289
0,5.240
1,10.405
0,4.718
1,13.350
0,4.469
1,12.725
0,4.214
1,10.814
0,5.265
1,8.807
0,7.401
1,9.264
0,4.429
1,8.109
0,4.852
1,15.340
0,4.224
1,9.113
0,4.638
1,13.541
0,4.624
1,8.873
0,4.468
1,8.559
0,4.547
1,18.059
0,4.091
1,10.895
0,4.913
1,10.293
0,4.678
1,16.697
0,4.607
1,3.694
0,4.772
1,9.576
0,4.433
1,9.321
0,4.951
1,10.229
0,4.930
1,9.865
0,4.602
1,8.562
0,4.655
1,9.091
0,4.267
1,8.971
0,4.771
1,4.522
the calculated threshold is: 6.455
the expected error is: 0.0390625
