bit, RTT
0,0.727
1,15.189
0,4.494
1,36.747
0,4.680
1,15.624
0,5.434
1,10.391
0,5.056
1,13.375
0,5.130
1,12.287
0,4.401
1,12.088
0,4.033
1,10.744
0,4.701
1,12.748
0,6.816
1,15.228
0,4.755
1,17.816
0,5.676
1,15.478
0,5.143
1,18.631
0,4.914
1,19.273
0,5.168
1,20.834
0,5.459
1,15.941
0,0.869
1,18.340
0,5.148
1,19.622
0,4.339
1,14.446
0,7.913
1,19.944
0,5.701
1,16.287
0,4.881
1,14.081
0,5.644
1,18.084
0,5.532
1,16.164
0,5.450
1,17.696
0,0.754
1,14.986
0,5.881
1,14.966
0,4.350
1,16.035
0,4.714
1,17.432
0,4.635
1,18.111
0,4.150
1,14.772
0,4.737
1,17.281
0,4.662
1,20.242
0,4.857
1,19.031
0,4.956
1,15.387
0,4.483
1,13.733
0,5.202
1,18.572
0,4.990
1,15.361
0,5.291
1,15.455
0,4.761
1,18.347
0,4.386
1,14.502
0,6.157
1,18.089
0,5.183
1,12.535
0,10.316
1,11.706
0,4.555
1,14.186
0,4.525
1,24.271
0,5.869
1,16.164
0,4.329
1,12.373
0,4.920
1,18.053
0,4.122
1,15.591
0,4.353
1,12.159
0,6.774
1,13.910
0,5.723
1,10.602
0,5.788
1,17.664
0,6.817
1,14.232
0,5.644
1,19.446
0,4.251
1,13.393
0,4.703
1,12.517
0,5.550
1,13.118
0,4.591
1,19.161
0,4.610
1,12.720
0,4.486
1,9.276
0,5.267
1,13.257
the calculated threshold is: 8.27
the expected error is: 0.0234375
