bit, RTT
1,0.730
0,1.131
1,8.768
0,5.105
1,19.872
0,4.212
1,13.162
0,4.049
1,10.161
0,6.425
1,21.307
0,4.975
1,11.484
0,5.259
1,13.482
0,4.730
1,9.059
0,4.352
1,12.952
0,6.746
1,18.277
0,5.089
1,11.567
0,5.678
1,16.230
0,5.436
1,13.988
0,4.369
1,14.111
0,4.449
1,22.960
0,4.739
1,16.074
0,4.607
1,13.711
0,4.411
1,19.662
0,3.874
1,14.777
0,6.400
1,17.964
0,5.632
1,17.388
0,4.331
1,8.900
0,0.778
1,19.128
0,5.318
1,17.871
0,7.228
1,17.370
0,4.123
1,14.673
0,5.946
1,16.370
0,4.514
1,19.252
0,4.434
1,16.878
0,5.580
1,21.113
0,4.308
1,13.855
0,4.198
1,12.518
0,4.115
1,22.201
0,4.286
1,18.355
0,7.249
1,16.567
0,4.071
1,18.857
0,5.504
1,18.084
0,5.115
1,18.202
0,1.031
1,17.543
0,5.165
1,16.685
0,4.663
1,16.577
0,5.235
1,17.847
0,4.632
1,15.138
0,10.053
1,11.950
0,4.722
1,14.363
0,4.384
1,19.806
0,4.828
1,18.104
0,4.266
1,13.967
0,4.514
1,18.244
0,4.853
1,11.764
0,4.294
1,12.747
0,5.603
1,12.938
0,4.762
1,11.640
0,4.847
1,19.219
0,4.512
1,13.757
0,6.754
1,16.894
0,4.512
1,13.129
0,3.835
1,12.471
0,4.480
1,12.330
0,4.139
1,15.746
0,4.592
1,11.463
0,0.694
1,11.313
0,4.397
1,13.757
the calculated threshold is: 8.085
the expected error is: 0.0234375
