bit, RTT
0,1.078
1,10.078
0,5.350
1,32.050
0,4.722
1,14.334
0,4.717
1,9.527
0,4.225
1,13.792
0,4.483
1,10.772
0,5.213
1,13.165
0,7.552
1,9.761
0,5.829
1,12.181
0,4.279
1,11.684
0,4.219
1,15.305
0,6.297
1,13.667
0,4.630
1,23.469
0,5.111
1,11.962
0,4.511
1,18.685
0,4.528
1,15.314
0,4.614
1,17.524
0,4.980
1,22.438
0,4.855
1,17.005
0,4.545
1,17.111
0,4.779
1,11.114
0,5.222
1,13.486
0,3.981
1,13.369
0,4.480
1,12.959
0,4.251
1,13.815
0,3.947
1,14.137
0,3.964
1,11.004
0,4.068
1,18.266
0,4.463
1,14.258
0,5.893
1,19.872
0,5.255
1,12.159
0,5.386
1,13.676
0,4.763
1,15.349
0,5.717
1,17.169
0,4.924
1,12.764
0,4.015
1,13.052
0,4.957
1,13.973
0,4.583
1,13.195
0,4.020
1,13.309
0,6.022
1,10.506
0,4.253
1,13.772
0,4.821
1,9.432
0,4.949
1,11.034
0,8.342
1,14.226
0,4.134
1,10.914
0,4.164
1,15.427
0,5.037
1,12.445
0,5.428
1,13.142
0,4.372
1,13.242
0,5.071
1,14.695
0,4.494
1,12.874
0,4.964
1,11.738
0,4.202
1,12.887
0,5.705
1,18.921
0,5.417
1,12.984
0,4.203
1,17.177
0,4.782
1,11.936
0,5.783
1,14.127
0,5.068
1,11.352
0,4.359
1,19.108
0,4.199
1,13.449
0,5.116
1,11.918
0,5.293
1,13.605
the calculated threshold is: 7.18
the expected error is: 0.03125
