bit, RTT
0,0.987
1,32.176
0,5.160
1,31.341
0,5.304
1,13.701
0,4.969
1,15.722
0,5.216
1,9.545
0,4.499
1,21.659
0,4.541
1,9.035
0,5.037
1,11.256
0,4.383
1,15.589
0,4.704
1,14.979
0,4.497
1,14.155
0,7.312
1,16.088
0,4.746
1,12.606
0,5.394
1,16.926
0,4.526
1,22.494
0,6.192
1,15.169
0,4.529
1,14.580
0,4.940
1,24.761
0,4.682
1,12.932
0,4.273
1,17.822
0,4.561
1,14.768
0,4.457
1,12.279
0,5.056
1,18.937
0,6.485
1,16.818
0,9.196
1,17.861
0,4.835
1,13.697
0,4.788
1,16.150
0,4.575
1,15.042
0,6.483
1,14.350
0,6.516
1,18.932
0,4.778
1,13.580
0,4.883
1,12.722
0,4.947
1,19.831
0,5.204
1,15.915
0,5.946
1,16.144
0,4.088
1,15.523
0,3.986
1,15.493
0,5.564
1,13.849
0,6.719
1,15.713
0,4.320
1,22.803
0,4.495
1,14.488
0,5.351
1,15.668
0,4.011
1,13.672
0,10.782
1,11.784
0,4.876
1,15.133
0,4.615
1,25.801
0,6.153
1,15.461
0,3.839
1,10.912
0,5.171
1,15.191
0,4.066
1,12.478
0,4.978
1,9.834
0,4.377
1,9.948
0,5.091
1,9.700
0,4.409
1,6.318
0,4.740
1,11.172
0,4.444
1,11.122
0,5.020
1,7.956
0,4.334
1,8.050
0,4.474
1,8.149
0,4.712
1,9.680
0,4.195
1,8.566
0,5.407
1,8.193
0,4.860
1,13.537
the calculated threshold is: 7.7700000000000005
the expected error is: 0.0390625
